seed,k,N,depth,xcoord,dist
2,10,10240,28,0.0875,0.22830043733119965
2,10,10240,29,0.090625,0.20823580026626587
2,10,10240,30,0.09375,0.22064772248268127
2,10,10240,31,0.096875,0.20907491445541382
2,10,10240,32,0.1,0.22577917575836182
3,1,1024,16,0.5,0.25878843665122986
3,1,1024,17,0.53125,0.26108935475349426
3,1,1024,18,0.5625,0.27206334471702576
3,1,1024,19,0.59375,0.28710758686065674
3,1,1024,20,0.625,0.2719145715236664
3,1,1024,21,0.65625,0.2924653887748718
3,1,1024,22,0.6875,0.2968282997608185
3,1,1024,23,0.71875,0.3285059332847595
3,1,1024,24,0.75,0.3468165695667267
3,1,1024,25,0.78125,0.3491429388523102
3,1,1024,26,0.8125,0.3635295629501343
3,1,1024,27,0.84375,0.38959750533103943
3,1,1024,28,0.875,0.4052685797214508
3,1,1024,29,0.90625,0.4054567813873291
3,1,1024,30,0.9375,0.39531752467155457
3,1,1024,31,0.96875,0.381435751914978
3,1,1024,32,1.0,0.3839331865310669
3,2,2048,16,0.25,0.2089708000421524
3,2,2048,17,0.265625,0.21701878309249878
3,2,2048,18,0.28125,0.20735140144824982
3,2,2048,19,0.296875,0.20579470694065094
3,2,2048,20,0.3125,0.20028412342071533
3,2,2048,21,0.328125,0.2298300564289093
3,2,2048,22,0.34375,0.23328374326229095
3,2,2048,23,0.359375,0.2648986577987671
3,2,2048,24,0.375,0.2835240066051483
3,2,2048,25,0.390625,0.2848317325115204
3,2,2048,26,0.40625,0.2901526093482971
3,2,2048,27,0.421875,0.30048316717147827
3,2,2048,28,0.4375,0.3045908510684967
3,2,2048,29,0.453125,0.3413350582122803
3,2,2048,30,0.46875,0.35853371024131775
3,2,2048,31,0.484375,0.34109702706336975
3,2,2048,32,0.5,0.332429438829422
3,3,3072,16,0.16666666666666666,0.185287743806839
3,3,3072,17,0.17708333333333334,0.18145130574703217
3,3,3072,18,0.1875,0.19256165623664856
3,3,3072,19,0.19791666666666666,0.2038796991109848
3,3,3072,20,0.20833333333333334,0.21098774671554565
3,3,3072,21,0.21875,0.23277324438095093
3,3,3072,22,0.22916666666666666,0.24241358041763306
